timestamp_ms,ax,ay,az,label
3026122,-0.994141,-0.025391,-0.029541,left
3026143,-0.98584,-0.014648,-0.039551,left
3026164,-0.99707,-0.018311,-0.041016,left
3026185,-0.990479,-0.014404,-0.041504,left
3026206,-0.991943,-0.016846,-0.036133,left
3026227,-0.983887,-0.011963,-0.040283,left
3026248,-0.980469,-0.020752,-0.04248,left
3026269,-0.992187,-0.012939,-0.042236,left
3026290,-0.995605,-0.017578,-0.050049,left
3026311,-0.99292,-0.007568,-0.043701,left
3026332,-0.984131,-0.014648,-0.047119,left
3026353,-0.995605,-0.021484,-0.038574,left
3026374,-0.986816,-0.015137,-0.032227,left
3026395,-0.986572,-0.015625,-0.033936,left
3026416,-0.980469,-0.012695,-0.03418,left
3026437,-0.98877,-0.013184,-0.031982,left
3026458,-0.988525,-0.015381,-0.029785,left
3026479,-0.995361,-0.017822,-0.032471,left
3026500,-0.97876,-0.006836,-0.041992,left
3026521,-0.990479,-0.01001,-0.034912,left
3026542,-0.981689,-0.01709,-0.031738,left
3026563,-0.983398,-0.012207,-0.03418,left
3026584,-0.994873,-0.026855,-0.035156,left
3026605,-0.986816,-0.013184,-0.034424,left
3026626,-0.993896,-0.017334,-0.038818,left
3026647,-0.990967,-0.020752,-0.040771,left
3026668,-0.990967,-0.015625,-0.052246,left
3026689,-0.992432,-0.019775,-0.046875,left
3026710,-0.996826,-0.022705,-0.040283,left
3026731,-0.985596,-0.015869,-0.043945,left
3026752,-0.984375,-0.009033,-0.03833,left
3026773,-0.993896,-0.014404,-0.0271,left
3026794,-0.994141,-0.021729,-0.023682,left
3026815,-0.989258,-0.015625,-0.036621,left
3026836,-0.991699,-0.010498,-0.021729,left
3026857,-0.996826,-0.022949,-0.022217,left
3026878,-0.992676,-0.020264,-0.029541,left
3026899,-0.987305,-0.019531,-0.029297,left
3026920,-0.981445,-0.008301,-0.037109,left
3026941,-0.990234,-0.013672,-0.031494,left
3026962,-0.986328,-0.022217,-0.034668,left
3026983,-0.987793,-0.025879,-0.032471,left
3027004,-0.983398,-0.013672,-0.027832,left
3027025,-0.996582,-0.015869,-0.033447,left
3027046,-0.991699,-0.017334,-0.033203,left
3027067,-0.992187,-0.02002,-0.037354,left
3027088,-0.990234,-0.018311,-0.035156,left
3027109,-0.986084,-0.016602,-0.040527,left
3027130,-0.994629,-0.022217,-0.036133,left
3027151,-0.989014,-0.017822,-0.036865,left
3027172,-0.987549,-0.020264,-0.031494,left
3027193,-0.989014,-0.017822,-0.034668,left
3027214,-0.98999,-0.020508,-0.031006,left
3027235,-0.984863,-0.013672,-0.040283,left
3027256,-0.993408,-0.026367,-0.03418,left
3027277,-0.990234,-0.016357,-0.037109,left
3027298,-0.998535,-0.016357,-0.035889,left
3027319,-0.992187,-0.018555,-0.041504,left
3027340,-0.989746,-0.02002,-0.033936,left
3027361,-0.984863,-0.018555,-0.039063,left
3027382,-0.985107,-0.018066,-0.040039,left
3027408,-0.988525,-0.0271,-0.045166,left
3027429,-0.987793,-0.022949,-0.048584,left
3027450,-0.989746,-0.015869,-0.039063,left
3027471,-0.987305,-0.018066,-0.043457,left
3027492,-0.989502,-0.023193,-0.04541,left
3027513,-0.979248,-0.014893,-0.052979,left
3027534,-0.991455,-0.020752,-0.047119,left
3027555,-0.991211,-0.021973,-0.047119,left
3027576,-0.989014,-0.017578,-0.053467,left
3027597,-0.984863,-0.021484,-0.054443,left
3027618,-0.990723,-0.019775,-0.055908,left
3027639,-0.991211,-0.019531,-0.057129,left
3027660,-0.989502,-0.023437,-0.053223,left
3027681,-0.976074,-0.010254,-0.05957,left
3027702,-0.993164,-0.021729,-0.057617,left
3027723,-0.990723,-0.018555,-0.057861,left
3027744,-0.990723,-0.020996,-0.056885,left
3027765,-0.986572,-0.018555,-0.057373,left
3027786,-0.985352,-0.023926,-0.060303,left
3027807,-0.983643,-0.01709,-0.061768,left
3027828,-0.994629,-0.023926,-0.060059,left
3027849,-0.977783,-0.017334,-0.062744,left
3027870,-0.992676,-0.024414,-0.067871,left
3027891,-0.983398,-0.025879,-0.0625,left
3027912,-0.986572,-0.020996,-0.063232,left
3027933,-0.975342,-0.010498,-0.061279,left
3027954,-1.001709,-0.028809,-0.056396,left
3027975,-0.991211,-0.022705,-0.059082,left
3027996,-0.98877,-0.020752,-0.067139,left
3028017,-0.987305,-0.016602,-0.057129,left
3028038,-0.986572,-0.023437,-0.05249,left
3028059,-0.989258,-0.018311,-0.056152,left
